Keyword,Total Term Frequency,Total Document Frequency,DoV,DoD,quadrant_DoV,quadrant_DoD
desplazar,107,95,2.8913594900000012e-05,0.005337902376221849,Weak,Weak
falsificar,14,10,2.8844265374930408e-05,0.0043594407184267365,Weak,Weak
querido,102,93,2.883444730999387e-05,0.005665191262850578,Weak,Weak
incineracion,13,10,2.8774721371781566e-05,0.004925995771186925,Weak,Weak
urbe,74,70,2.8736311451303675e-05,0.005786172274548037,Weak,Weak
operadoro,21,15,2.8709851122553267e-05,0.004439510876862098,Weak,Weak
antidroga,101,80,2.8698195355704187e-05,0.004603318824340905,Weak,Weak
nave,65,45,2.86699313552418e-05,0.004154731803615997,Weak,Weak
recapturar,18,14,2.864019089843631e-05,0.004845227438001833,Weak,Weak
labrador,54,36,2.861725985507557e-05,0.004146947915546854,Weak,Weak
manabitar,75,58,2.8584497520189827e-05,0.004749477021049198,Weak,Weak
panfleto,31,22,2.856451725573572e-05,0.004245931705980541,Weak,Weak
casometastasis,13,11,2.8536571088483604e-05,0.0054980895309612015,Weak,Weak
revirtio,6,5,2.85363696030591e-05,0.004424778761061947,Weak,Weak
sol,132,100,2.8493330885768356e-05,0.004490832799701789,Weak,Weak
traicion,38,27,2.8465415753924468e-05,0.004239950505281399,Weak,Weak
boscoso,7,7,2.8463306731436503e-05,0.006118881118881118,Weak,Weak
peatonal,91,63,2.8460903551626374e-05,0.004110174839957667,Weak,Weak
catastrofe,24,19,2.845578901761268e-05,0.004651267912541298,Weak,Weak
interseccion,47,32,2.8454474857953654e-05,0.00413535703991477,Weak,Weak
arribo,115,94,2.8402302267987536e-05,0.00495885487949082,Weak,Weak
acribillar,59,54,2.8395065431152946e-05,0.005585103802946695,Weak,Weak
requisa,40,34,2.8310753009973676e-05,0.0052544990061280964,Weak,Weak
opioide,20,15,2.8307450303492928e-05,0.004400265093771414,Weak,Weak
rosario,26,20,2.8300418167656484e-05,0.004686974585149483,Weak,Weak
nayib,40,33,2.829971970194696e-05,0.005078470149263186,Weak,Weak
peligrosidad,52,45,2.829452197124155e-05,0.0052413158348591305,Weak,Weak
revelacion,26,23,2.827274584510571e-05,0.005569425258985179,Weak,Weak
cuartel,133,106,2.8251103132633453e-05,0.004577627691624818,Weak,Weak
master,20,16,2.8243865498754216e-05,0.004930893579693403,Weak,Weak
procedente,115,102,2.818753282848927e-05,0.005192712651867064,Weak,Weak
enemigo,101,84,2.818680583219595e-05,0.004974620903629395,Weak,Weak
trinitario,51,36,2.8128175999471503e-05,0.0041488711044791494,Weak,Weak
reinaldo,34,25,2.812031439491814e-05,0.004452449475680638,Weak,Weak
arrebatar,13,12,2.81119387815943e-05,0.005479314331674458,Weak,Weak
ahorrar,129,86,2.8086030135405224e-05,0.004166915721083727,Weak,Weak
monitorear,84,75,2.8074525419551447e-05,0.005139896702140926,Weak,Weak
hidrologiar,78,78,2.8063664450284875e-05,0.00592542693474615,Weak,Weak
sorpresivo,19,19,2.8045598053527013e-05,0.005764099086167665,Weak,Weak
personaje,127,87,2.80187942483552e-05,0.004139778946980188,Weak,Weak
acumulacion,115,85,2.7961103742680864e-05,0.004163647125952579,Weak,Weak
entrante,26,24,2.792175276565135e-05,0.0053652423961465115,Weak,Weak
yihadista,7,6,2.7906095987003732e-05,0.005183585313174946,Weak,Weak
aportarar,7,5,2.7906095987003732e-05,0.004319654427645789,Weak,Weak
itinerario,7,5,2.7906095987003732e-05,0.004319654427645789,Weak,Weak
vladimir,128,101,2.7874882802963846e-05,0.004229802304994256,Weak,Weak
informir,110,105,2.7862782681625547e-05,0.005573666612790808,Weak,Weak
coordino,98,92,2.7821979954569253e-05,0.0054157164911198125,Weak,Weak
